player_name,player_id,team_id,match_id,innings,overs,maidens,runs,wickets,economy,wides,no_ball
Mustafizur Rahman,43,3,23,1,9.0,0,76,0,8.44,2,0
Mehidy Hasan Miraz,40,3,23,1,9.0,0,44,1,4.88,2,0
Shoriful Islam,45,3,23,1,9.0,0,76,1,8.44,0,0
Shakib Al Hasan,41,3,23,1,9.0,0,69,1,7.66,1,0
Hasan Mahmud,42,3,23,1,6.0,0,67,2,11.16,1,0
Nasum Ahmed,44,3,23,1,5.0,0,27,0,5.4,0,0
Mahmudullah,39,3,23,1,3.0,0,20,0,6.66,1,0
Marco Jansen,136,9,23,2,8.0,0,39,2,4.87,5,0
Lizaad Williams,143,9,23,2,8.4,1,56,2,6.46,5,0
Gerald Coetzee,138,9,23,2,10.0,0,62,3,6.2,1,1
Kagiso Rabada,141,9,23,2,10.0,1,42,2,4.2,0,1
Keshav Maharaj,139,9,23,2,10.0,0,32,1,3.2,1,0
Aryan Dutt,93,6,24,1,7.0,0,59,1,8.42,0,0
Colin Ackermann,87,6,24,1,4.0,0,19,0,4.75,0,0
Logan van Beek,95,6,24,1,10.0,0,74,4,7.4,5,0
Paul van Meekeren,96,6,24,1,10.0,0,64,0,6.4,3,0
Vikramjit Singh,86,6,24,1,4.0,0,27,0,6.75,1,0
Roelof van der Merwe,92,6,24,1,5.0,0,41,0,8.2,1,0
Bas de Leede,88,6,24,1,10.0,0,115,2,11.5,1,1
Mitchell Starc,29,2,24,2,4.0,0,22,1,5.5,2,0
Josh Hazlewood,28,2,24,2,6.0,0,27,1,4.5,2,0
Pat Cummins,27,2,24,2,4.0,0,14,1,3.5,0,0
Mitchell Marsh,24,2,24,2,4.0,0,19,2,4.75,3,0
Adam Zampa,30,2,24,2,3.0,0,8,4,2.66,0,0
Dilshan Madushanka,158,10,25,1,5.0,0,37,0,7.4,0,0
Kasun Rajitha,159,10,25,1,7.0,0,36,2,5.14,1,0
Maheesh Theekshana,160,10,25,1,8.2,1,21,1,2.52,3,0
Angelo Mathews,155,10,25,1,5.0,1,14,2,2.8,0,0
Lahiru Kumara,162,10,25,1,7.0,0,35,3,5.0,0,0
Dhananjaya de Silva,152,10,25,1,1.0,0,10,0,10.0,0,0
Chris Woakes,60,4,25,2,6.0,0,30,0,5.0,2,0
David Willey,59,4,25,2,5.0,0,30,2,6.0,1,0
Adil Rashid,62,4,25,2,4.4,0,39,0,8.35,0,0
Mark Wood,63,4,25,2,4.0,0,23,0,5.75,0,0
Liam Livingstone,57,4,25,2,3.0,0,17,0,5.66,0,0
Moeen Ali,54,4,25,2,3.0,0,21,0,7.0,0,0
Marco Jansen,136,9,26,1,9.0,1,43,3,4.77,6,2
Lungi Ngidi,140,9,26,1,7.4,0,45,1,5.86,3,0
Aiden Markram,133,9,26,1,4.0,0,20,0,5.0,0,0
Keshav Maharaj,139,9,26,1,9.0,0,56,0,6.22,0,0
Gerald Coetzee,138,9,26,1,7.0,0,42,2,6.0,1,0
Tabraiz Shamsi,142,9,26,1,10.0,0,60,4,6.0,1,2
Iftikhar Ahmed,117,8,26,2,3.0,0,23,0,7.66,1,0
Shaheen Shah Afridi,127,8,26,2,10.0,0,45,3,4.5,3,0
Mohammad Nawaz,122,8,26,2,6.2,0,40,0,6.31,0,0
Haris Rauf,125,8,26,2,10.0,0,62,2,6.2,2,0
Mohammad Wasim,123,8,26,2,10.0,1,50,2,5.0,3,0
Usama Mir,128,8,26,2,8.0,0,45,2,5.62,1,0
Matt Henry,113,7,27,1,6.2,0,67,1,10.57,2,2
Trent Boult,108,7,27,1,10.0,0,77,3,7.7,3,0
Lockie Ferguson,109,7,27,1,3.0,0,38,0,12.66,0,0
Mitchell Santner,107,7,27,1,10.0,0,80,2,8.0,1,0
Glenn Phillips,105,7,27,1,10.0,0,37,3,3.7,0,0
Rachin Ravindra,106,7,27,1,8.0,0,56,0,7.0,0,0
James Neesham,104,7,27,1,2.0,0,32,1,16.0,0,0
Mitchell Starc,29,2,27,2,9.0,0,89,0,9.88,9,0
Josh Hazlewood,28,2,27,2,9.0,0,70,2,7.77,1,0
Pat Cummins,27,2,27,2,10.0,0,66,2,6.6,3,0
Glenn Maxwell,25,2,27,2,10.0,0,62,1,6.2,0,0
Adam Zampa,30,2,27,2,10.0,0,74,3,7.4,0,0
Mitchell Marsh,24,2,27,2,2.0,0,18,0,9.0,1,0
Shoriful Islam,45,3,28,1,10.0,0,51,2,5.1,3,0
