player_name,player_id,team_id,match_id,runs,balls_faced,fours,sixes,strike_rate,dnb,is_out,dismissal_type
Dunith Wellalage,161,10,4,0,1,0,0,0.00,0,1,c †Klaasen b Coetzee
Kasun Rajitha,159,10,4,33,31,4,1,106.45,0,1,c Markram b Coetzee
Matheesha Pathirana,163,10,4,5,16,1,0,31.25,0,1, b Rabada
Dilshan Madushanka,158,10,4,4,2,1,0,200.00,0,0,
David Warner,21,2,5,41,52,6,0,78.84,0,1,c & b Kuldeep Yadav
Mitchell Marsh,24,2,5,0,6,0,0,0.00,0,1,c Kohli b Bumrah
Steven Smith,20,2,5,46,71,5,0,64.78,0,1, b Jadeja
Marnus Labuschagne,19,2,5,27,41,1,0,65.85,0,1,c †Rahul b Jadeja
Glenn Maxwell,25,2,5,15,25,1,0,60.00,0,1, b Kuldeep Yadav
Alex Carey,16,2,5,0,2,0,0,0.00,0,1,lbw b Jadeja
Cameron Green,23,2,5,8,20,0,0,40.00,0,1,c Pandya b Ashwin
Pat Cummins,27,2,5,15,24,1,1,62.50,0,1,c Iyer b Bumrah
Mitchell Starc,29,2,5,28,35,2,1,80.00,0,1,c Iyer b Mohammed Siraj
Adam Zampa,30,2,5,6,20,0,0,30.00,0,1,c Kohli b Pandya
Josh Hazlewood,28,2,5,1,1,0,0,100.00,0,0,
Rohit Sharma,65,5,5,0,6,0,0,0.00,0,1,lbw b Hazlewood
Ishan Kishan,66,5,5,0,1,0,0,0.00,0,1,c Green b Starc
Virat Kohli,68,5,5,85,116,6,0,73.27,0,1,c Labuschagne b Hazlewood
Shreyas Iyer,67,5,5,0,3,0,0,0.00,0,1,c Warner b Hazlewood
KL Rahul,69,5,5,97,115,8,2,84.34,0,0,
Hardik Pandya,74,5,5,11,8,0,1,137.50,0,0,
Rohit Sharma,65,5,5,0,0,0,0,0,1,0,
KL Rahul,69,5,5,0,0,0,0,0,1,0,
Ravindra Jadeja,73,5,5,0,0,0,0,0,1,0,
Ravichandran Ashwin,72,5,5,0,0,0,0,0,1,0,
Kuldeep Yadav,77,5,5,0,0,0,0,0,1,0,
Jasprit Bumrah,76,5,5,0,0,0,0,0,1,0,
Mohammed Siraj,79,5,5,0,0,0,0,0,1,0,
Devon Conway,100,7,6,32,40,5,1,80.00,0,1,c de Leede b van der Merwe
Will Young,101,7,6,70,80,7,2,87.50,0,1,c de Leede b van Meekeren
Rachin Ravindra,106,7,6,51,51,3,1,100.00,0,1,c †Edwards b van der Merwe
Daryl Mitchell,103,7,6,48,47,5,2,102.12,0,1, b van Meekeren
Tom Latham,99,7,6,53,46,6,1,115.21,0,1,st †Edwards b Dutt
Glenn Phillips,105,7,6,4,4,1,0,100.00,0,1,c †Edwards b de Leede
Mark Chapman,102,7,6,5,13,0,0,38.46,0,1,c van der Merwe b Dutt
Mitchell Santner,107,7,6,36,17,3,2,211.76,0,0,
Matt Henry,113,7,6,10,4,0,1,250.00,0,0,
Tom Latham,99,7,6,0,0,0,0,0,1,0,
Lockie Ferguson,109,7,6,0,0,0,0,0,1,0,
Trent Boult,108,7,6,0,0,0,0,0,1,0,
Vikramjit Singh,86,6,6,12,20,1,0,60.00,0,1, b Henry
Max O'Dowd,85,6,6,16,31,2,0,51.61,0,1,lbw b Santner
Colin Ackermann,87,6,6,69,73,5,0,94.52,0,1,c Henry b Santner
Bas de Leede,88,6,6,18,25,3,0,72.00,0,1,c Boult b Ravindra
Teja Nidamanuru,90,6,6,21,26,2,1,80.76,0,1,run out (Ferguson/†Latham)
Scott Edwards,82,6,6,30,27,2,1,111.11,0,1,c & b Santner
Sybrand Engelbrecht,89,6,6,29,34,3,0,85.29,0,1,c Conway b Henry
Roelof van der Merwe,92,6,6,1,6,0,0,16.66,0,1,c Henry b Santner
Ryan Klein,97,6,6,8,15,0,0,53.33,0,1,lbw b Santner
Aryan Dutt,93,6,6,11,20,0,1,55.00,0,1, b Henry
Paul van Meekeren,96,6,6,4,3,1,0,133.33,0,0,
Jonny Bairstow,49,4,7,52,59,8,0,88.13,0,1, b Shakib Al Hasan
Dawid Malan,51,4,7,140,107,16,5,130.84,0,1, b Mahedi Hasan
Joe Root,52,4,7,82,68,8,1,120.58,0,1,c †Mushfiqur Rahim b Shoriful Islam
Jos Buttler,48,4,7,20,10,1,1,200.00,0,1, b Shoriful Islam
Harry Brook,50,4,7,20,15,3,0,133.33,0,1,c Litton Das b Mahedi Hasan
Liam Livingstone,57,4,7,0,1,0,0,0.00,0,1, b Shoriful Islam
Sam Curran,56,4,7,11,15,1,0,73.33,0,1,c Najmul Hossain Shanto b Mahedi Hasan
Chris Woakes,60,4,7,14,11,2,0,127.27,0,1,c Mahedi Hasan b Taskin Ahmed
Adil Rashid,62,4,7,11,7,1,0,157.14,0,1,c Najmul Hossain Shanto b Mahedi Hasan
Mark Wood,63,4,7,6,5,1,0,120.00,0,0,
Reece Topley,64,4,7,1,2,0,0,50.00,0,0,
Litton Das,34,3,7,76,66,7,2,115.15,0,1,c †Buttler b Woakes
Tanzid Hasan,36,3,7,1,2,0,0,50.00,0,1,c Bairstow b Topley
Najmul Hossain Shanto,32,3,7,0,1,0,0,0.00,0,1,c Livingstone b Topley
Shakib Al Hasan,41,3,7,1,9,0,0,11.11,0,1, b Topley
Mehidy Hasan Miraz,40,3,7,8,7,1,0,114.28,0,1,c †Buttler b Woakes
Mushfiqur Rahim,35,3,7,51,64,4,0,79.68,0,1,c Rashid b Topley
Towhid Hridoy,37,3,7,39,61,2,0,63.93,0,1,c †Buttler b Livingstone
Mahedi Hasan,38,3,7,14,32,1,0,43.75,0,1, b Rashid
Taskin Ahmed,47,3,7,15,25,0,1,60.00,0,1, b Curran
Shoriful Islam,45,3,7,12,14,2,0,85.71,0,1, b Wood
Mustafizur Rahman,43,3,7,3,9,0,0,33.33,0,0,
Pathum Nissanka,148,10,8,51,61,7,1,83.60,0,1,c Abdullah Shafique b Shadab Khan
Kusal Perera,149,10,8,0,4,0,0,0.00,0,1,c †Mohammad Rizwan b Hasan Ali
Kusal Mendis,146,10,8,122,77,14,6,158.44,0,1,c Imam-ul-Haq b Hasan Ali
Sadeera Samarawickrama,150,10,8,108,89,11,2,121.34,0,1,c †Mohammad Rizwan b Hasan Ali
Charith Asalanka,151,10,8,1,3,0,0,33.33,0,1,c †Mohammad Rizwan b Hasan Ali
Dhananjaya de Silva,152,10,8,25,34,3,0,73.52,0,1,c Shaheen Shah Afridi b Mohammad Nawaz
Dasun Shanaka,156,10,8,12,18,0,0,66.66,0,1,c Babar Azam b Shaheen Shah Afridi
Dunith Wellalage,161,10,8,10,8,1,0,125.00,0,1,c Abdullah Shafique b Haris Rauf
Maheesh Theekshana,160,10,8,0,4,0,0,0.00,0,1, b Haris Rauf
Matheesha Pathirana,163,10,8,1,3,0,0,33.33,0,0,
Kusal Mendis,146,10,8,0,0,0,0,0,1,0,
Dasun Shanaka,156,10,8,0,0,0,0,0,1,0,
Dilshan Madushanka,158,10,8,0,0,0,0,0,1,0,
